step,starting_modules,modules,move_type,energy,mc_outcome
34,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2YOYO2YO3YO2YOYO2Y2O3Y2O3YOYOYOY2OYOYOY2O2YO2YO4,7,1.818181818181818e+18,cR
35,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2Y2O2Y2OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO4YOYO2YO,2,1.3333333333333332e+18,cR
36,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YOYO2YO2YO3YO3YOYOYOYO,1,1.3333333333333332e+18,cR
37,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYO2YO4YO2YO4YO3YOYO2YOY3O2YO2Y2O2YOY2OY2OYO2YOYO2YO2YO3YO3YOYOYOY,9,1.3333333333333332e+18,cR
38,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOYOY2O3YO2YO7YO3YOYOYO2YOYO3YO2YOY2OY3O2YO3YO3YO2YO2Y2O2YOYOY3,9,1.3333333333333332e+18,cR
39,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2YO,7,2e+19,cR
40,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YO2YO2YO2YO2YO3YO3YOYO2YOY2OYOYOY2O2YOY2O2YOYOYO2YOYO2YOYO3YO2YOYOYO2YO2,9,1.3333333333333332e+18,cR
41,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,Y2OYOYO8Y2OY2OYO2YO2YO3Y2O7YOY6O4YO2YO5YOYOYOYOY2OY2O2,10,1.3333333333333332e+18,cR
42,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YO2Y3O2Y2OYO2Y2O2YOYOYOYOYO2YO3YO2YO2YO4YOYO2YO,2,1.3333333333333332e+18,cR
43,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,Y2OYOYOYO4YO2YO2YO2YO2YO2Y3OYOY2O2Y2O2YO2YOYOYOYO2YO3YO2YO2YO4YOYO2YO,4,1.3333333333333332e+18,cR
44,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YO2Y3OYOYOYO2Y2O2YO2Y2OYOYO2YO3YO2YO2YO4YOYO2YO,4,1.3333333333333332e+18,cR
45,YOYO2YO3YO2YO3YO3YOYO2YOYOYOYO2YO2Y2O2YOY2OY3O2YO2YO2YO2YO3YO3YOYOY2O,YOY2OYOYO4YO2YO2YO2YO2YO2Y3OY2OYO2Y2O2YO2YOYOYOYO2YO3YO2YO2YO4YO2YOYO,2,1.3333333333333332e+18,cR
